call_id,ticker,n_turns,boundary_idx,method,corroborated,boundary_role,boundary_text,correct_y_n
1650623,MSI,70,7,first_analyst,True,analyst,"Yes, just had a question. I was hoping you can update, obviously there's been a lot of movement with acquisition in the command center and the software-based, y",
1702596,LMT,59,5,first_analyst,True,analyst,"Even without the extra week, I think your sales growth was about 14%, it's the highest in 15 years by our records. And I wanted to drill down a bit if I could i",
1714901,ASH,78,5,first_analyst,True,analyst,"So on the personal -- on the personal care side, can you comment on the materiality of this skin care's growth during the quarter and even more importantly, the",
1716775,DD,41,6,operator_cue,True,operator,[Operator Instructions] Our first question is from Vincent Andrews with Morgan Stanley.,
1717019,HII,90,6,first_analyst,True,analyst,"Mike, you guys don't provide quarterly guidance and that's not what this question but is meant to get to. But the backlogs spike that you have with some of thes",
1780823,PFG,66,5,first_analyst,True,analyst,"I have a couple of questions on the wells deal. I guess, one, in terms on the comment on slightly accretive in 2020, was that including or excluding the transac",
1780837,ITW,88,6,first_analyst,True,analyst,"Just 2 questions from me and first for Scott, actually just picking up where we ended on the call like what is the complexion of this cycle? I clearly understan",
1784253,DLR,37,5,first_analyst,True,analyst,"I have a couple of operational questions, I guess, first by region. In the major U.S. markets, I'm wondering where you see the leasing or demand pipeline the st",
1861577,DXC,48,7,operator_cue,True,operator,[Operator Instructions] We'll take our first question from Rod Bourgeois at DeepDive Equity Research.,
1899237,COP,67,4,first_analyst,True,analyst,"I appreciate the opportunity for a lengthy Q&A session. So I've just got a couple and then I'll let someone else jump on. I guess, first of all, there's a numbe",
1909330,REG,91,7,first_analyst,True,analyst,"Lisa, and Mike, you both mentioned in your prepared remarks about commenting on sort of getting back to that 3% same-store NOI, 4% FFO growth in 2021 and beyond",
1958261,LVS,73,4,first_analyst,True,analyst,"So my first question relates to, I guess, the thing that we would call in Macao travel impediments or restrictions, IBS, airlift, ferry, the quarantine position",
1966291,IP,73,4,operator_cue,True,operator,"[Operator Instructions] Our first question is going to come from the line of George Staphos, Bank of America Merrill Lynch.",
1970429,AIG,74,7,operator_cue,True,operator,[Operator Instructions] And we will take our first question from Elyse Greenspan with Wells Fargo.,
2002421,CRM,41,5,first_analyst,True,analyst,"Marc, the second week of November should be an interesting one. I am wondering what Einstein might be telling you about virtual Dreamforce 2020. Some of us on t",
2047862,OTIS,55,5,operator_cue,True,operator,[Operator Instructions] Our first question comes from the line of Nigel Coe with Wolfe Research.,
2049349,ADP,60,5,first_analyst,True,analyst,"One key one is just from a bookings perspective, as you look out over the coming year, and you gave us a bit of a sense for the cadence that you expect. Which o",
2062396,CAH,56,5,operator_cue,True,operator,[Operator Instructions] And we'll first go to Michael Cherny with Bank of America.,
2169773,,23,0,first_analyst,False,analyst,"Hi. I'm Samik Chatterjee. I'm the IT hardware and networking equipment analyst at JPMorgan. For the next company at our Tech Forum, I have the pleasure of hosti",
2182933,PTC,44,5,first_analyst,True,analyst,"Jim, let me start with a technology question for you having to do with the Arena acquisition. With that, you now arguably have 3 code bases for PLM: Arena, Wind",
2252641,,15,0,text_cue,False,management,"Good afternoon, ladies and gentlemen. Welcome to the 2021 Annual Meeting of shareholders of The Goodyear Tire & Rubber Company. I'm your Chairman of the Board, ",
2253854,LMT,38,4,operator_cue,True,operator,[Operator Instructions] And first with the line of Rob Spingarn with Credit Suisse.,
2258796,,60,3,operator_cue,True,operator,[Operator Instructions] Our first question is from Christopher Glynn from Oppenheimer. .,
2264998,NWL,42,5,first_analyst,True,analyst,"My first question -- I actually have 2, if that's okay? My first is the raise and the beat is just fantastic, and it looks like there's maybe more room for upsi",
2269101,ANET,123,8,first_analyst,True,analyst,Congratulations on such a solid quarter and guide post. So I wanted to just go back to something Anshul said regarding expectations for hyperscale and call time,
2344969,C,49,5,first_analyst,True,analyst,"Mark, thanks for the comments at the end there about the expense outlook and the revision to your outlook for this year. Just wondering if you could just unpack",
2353423,EQIX,60,6,first_analyst,True,analyst,"So during the Investor Day last month, you guys outlined the 7% to 10% annual AFFO per share growth through 2025, but you also suggested that next year could co",
2363325,DXC,29,6,first_analyst,True,analyst,"I just wanted to ask, when we look at that enterprise stack, when we go towards positive organic growth, can you just kind of walk us through there the big chan",
2400290,KBH,58,5,first_analyst,True,analyst,"One of the interesting things that we saw in your results today was the share repurchase, and you actually increased your leverage to do it, which is something ",
2413200,CHRW,60,6,first_analyst,True,analyst,"Yes. Congratulations on the great results in forwarding in particular. And the -- it seems like really taking advantage of the market and doing well. I guess, I",
